Código;Município;escola1;Numero_escolas_trabalha;Escola_resp_Quest;Tipo_escola;Niveis_escola;Idade;Sexo;Formação;Área_Ed_Inf;Área_EF_finais;Área_EF_iniciais;Área_Ens_Médio;Área_Ens_Téc;Contrato;Outro_qual;Tempo_Escola;Tempo_profissão;Hrs_semanais;Numero_professores;Supervisiona;Licença_2semanas;Porquê_A;Licença_ano;Quantotempo;Porquê_B;trab1;trab2;trab3;trab4;trab5;trab6;trab7;trab8;trab9;trab10;trab11;trab12;trab13;trab14;trab15;trab16;trab17;trab18;trab19;trab20;trab21;trab22;trab23;trab24;trab25;trab26;trab27;trab28;trab29;trab30;trab31;trab32;atitrab1;atitrab2;atitrab3;atitrab4;atitrab5;atitrab6;atitrab7;atitrab8;atitrab9;atitrab10;atitrab11;atitrab12;atitrab13;atitrab14;atitrab15;atitrab16;atitrab17;atitrab18;atitrab19;atitrab20;be1;be2;be3;be4;be5;be6;be7;be8;be9;be10;be11;be12;be13;be14;be15;be16;be17;be18;be19;bes1;bes2;bes3;bes4;bes5;saude1;saude2;saude3;saude4;MPS;IPPS;IOPS;ISP;CAFC;VSP;ARE;DED;ARS;AED;Engagement;Exaustao;Cinismo;SCV;Saude
NEAR003;Sananduva;E.E.E.F. José Fachinello Sobrinho;2;E.E.E.F. José Fachinello Sobrinho;2;2;37;2;2;0;1;1;0;0;2;;1,00;7,00;45,0;#NULO!;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;5;6;7;6;6;6;6;6;6;2;2;2;7;6;6;6;6;5;5;5;5;5;3;#NULO!;4;5;1;4;5;5;5;4;4;3;2;3;5;6;6;6;6;6;6;6;6;6;0;1;1;0;0;0;0;0;0;0;7;6;7;7;6;5;5;5;5;7,00;6,67;6,00;6,00;6,50;6,00;4,60;3,20;4,00;4,60;6,00;0,40;0,00;6,60;5,00
ALRO349;Sananduva;E.E.E.F. José Fachinello Sobrinho;2;E.E.E.F. José Fachinello Sobrinho;2;2;39;2;2;0;1;0;0;0;2;;4,00;16,00;15,0;13;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;5;7;7;7;7;7;7;2;2;2;7;7;6;7;5;5;2;5;4;5;4;3;3;5;3;3;5;5;4;2;5;3;2;2;5;5;5;5;5;6;6;5;6;6;5;5;5;5;5;#NULO!;5;6;1;1;6;5;5;5;5;5;4;5;4;7,00;7,00;5,67;7,00;7,00;6,00;4,60;3,00;3,00;4,40;5,44;5,00;3,25;5,20;4,50
GEAD573;Sananduva;E.E.E.F. José Fachinello Sobrinho;1;E.E.E.F. José Fachinello Sobrinho;2;2;37;2;1;0;0;1;0;0;2;;7,00;12,00;20,0;13;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;1;1;1;7;7;6;6;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;2;5;5;3;5;4;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;2;2;3;3;7,00;7,00;7,00;6,33;7,00;5,67;4,40;4,00;3,80;4,20;1,44;0,40;0,20;1,00;2,50
ARAN046;Sananduva;E.E.E.F. José Fachinello Sobrinho;1;E.E.E.F. José Fachinello Sobrinho;2;2;47;2;2;0;1;1;0;0;1;;23,00;23,00;4,0;13;1;1;;2;60 DIAS;ESTRESSE;7;7;7;7;7;7;7;7;7;7;7;7;7;3;3;7;7;7;7;7;7;7;7;#NULO!;1;1;1;1;7;6;6;6;4;4;4;3;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;5;5;5;4;7,00;4,33;7,00;7,00;4,00;6,00;4,20;4,20;4,20;4,00;6,00;0,00;0,00;6,00;4,75
ERMA072;Sananduva;E.E.E.F. José Fachinello Sobrinho;1;E.E.E.F. José Fachinello Sobrinho;2;2;53;2;2;0;1;0;0;0;1;;14,00;23,00;#NULO!;13;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;6;7;7;5;7;5;5;5;5;3;2;2;7;7;5;5;7;4;3;3;3;4;4;3;3;4;2;3;4;5;2;4;3;5;3;3;4;5;5;5;5;5;5;5;5;0;2;5;5;1;1;0;0;1;0;1;2;3;6;6;5;3;4;4;3;7,00;6,67;6,67;5,33;7,00;5,67;4,40;2,80;3,20;3,40;4,44;2,80;0,40;4,40;3,50
TEME502;Sananduva;E.E.E.F. José Fachinello Sobrinho;2;E.E.E.F. José Fachinello Sobrinho;2;2;38;2;2;0;1;0;0;0;2;;8,00;18,00;40,0;13;1;1;;1;;;6;5;6;7;7;7;7;6;7;7;5;5;5;6;6;7;7;7;6;7;6;7;#NULO!;5;#NULO!;1;1;7;6;7;4;6;4;2;5;5;5;1;4;3;5;3;4;3;4;1;3;4;4;5;4;4;5;6;6;5;6;5;5;6;5;5;5;5;#NULO!;0;0;0;0;1;0;6;4;7;6;6;3;3;4;4;6,25;5,67;7,00;6,20;6,50;5,67;4,40;2,40;4,00;3,80;5,44;3,75;0,20;5,80;3,50
SIGE216;Sananduva;E.E.E.F. José Fachinello Sobrinho;2;E.E.E.F. José Fachinello Sobrinho;2;2;30;2;2;0;1;0;0;0;2;;7,00;9,00;40,0;13;1;1;;1;;;7;7;7;7;6;6;6;6;6;6;7;7;6;6;5;7;6;6;6;6;6;6;6;5;1;1;1;6;6;6;5;6;5;1;1;3;5;2;1;4;5;1;1;3;5;1;2;3;5;1;5;4;5;5;5;4;6;5;5;6;6;5;5;1;0;1;0;0;5;0;0;6;4;6;6;6;4;3;3;4;6,50;5,67;6,33;5,83;6,00;5,67;5,00;1,20;2,00;3,40;5,22;2,40;1,00;5,60;3,50
CLZI471;Sananduva;E.E.E.F. José Fachinello Sobrinho;2;E.E.E.F. José Fachinello Sobrinho;2;2;27;2;6;0;1;0;1;0;2;;3,60;7,00;40,0;13;1;1;;1;;;7;7;7;7;6;7;7;7;7;7;7;7;6;6;6;5;6;6;7;7;6;6;6;6;1;1;1;7;6;6;6;6;5;1;3;3;5;1;5;4;5;2;4;3;4;1;4;4;3;1;5;4;5;6;6;5;6;6;5;6;5;6;6;5;4;5;1;1;1;0;0;5;5;5;5;3;4;3;4;4;6,92;6,00;5,67;6,33;6,50;6,00;4,40;1,20;4,20;3,60;5,56;5,20;0,60;4,60;3,75
GEAT605;Sananduva;E.E.E.F. José Fachinello Sobrinho;1;E.E.E.F. José Fachinello Sobrinho;2;2;31;2;2;0;1;0;0;0;2;;6,00;8,00;20,0;13;1;1;;1;;;6;6;7;7;6;6;6;6;7;7;7;7;6;6;5;5;6;7;6;6;6;6;7;5;1;1;1;7;7;6;6;6;4;2;2;3;4;3;4;4;4;3;3;3;3;3;3;3;3;2;3;4;5;5;4;5;6;5;6;6;5;3;2;1;3;3;1;1;5;1;1;5;5;6;6;5;4;3;4;4;6,50;5,67;6,00;6,00;7,00;6,00;3,60;2,60;3,00;3,40;5,22;2,40;1,80;5,40;3,75
RODO688;Sananduva;E.E.E.F. José Fachinello Sobrinho;1;E.E.E.F. José Fachinello Sobrinho;2;2;44;1;2;0;1;1;0;0;1;;19,00;32,00;40,0;13;2;1;;1;;;7;7;7;7;6;7;5;2;7;7;7;6;7;7;6;5;6;7;7;7;6;7;7;6;1;1;1;6;6;7;7;6;5;3;4;5;5;3;3;4;5;5;4;4;5;4;1;5;4;2;5;5;6;5;5;6;6;6;6;6;5;5;5;1;0;1;0;0;0;0;0;7;7;7;7;6;4;4;5;4;6,25;6,67;6,00;6,67;6,00;6,67;4,80;3,40;3,40;4,60;5,67;2,40;0,00;6,80;4,25
LEVI405;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;2;E.E.E.F. Amélia Lenzi Raymundi;2;2;39;1;2;0;1;0;0;0;1;;18,00;20,00;16,0;#NULO!;1;1;;1;;;7;7;7;3;6;6;7;6;7;7;7;5;7;6;5;5;6;7;7;7;7;7;7;7;#NULO!;4;1;7;6;3;4;5;5;1;3;3;2;1;1;3;4;2;3;3;5;2;2;5;5;1;1;4;5;3;6;5;6;6;5;6;6;6;5;5;2;4;0;0;6;0;0;7;7;7;7;6;5;4;4;4;6,25;6,00;6,00;7,00;6,50;4,00;4,20;1,40;2,00;3,60;5,33;4,40;1,20;6,80;4,25
ELRO867;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;1;E.E.E.F. Amélia Lenzi Raymundi;2;2;52;2;1;0;1;0;0;0;1;;23,00;34,00;20,0;29;1;1;;1;;;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;5;5;6;6;5;5;6;6;4;2;2;2;6;5;5;5;6;4;2;2;4;5;3;2;3;3;2;3;3;5;3;2;4;3;3;5;4;5;5;5;5;5;6;5;6;6;5;5;5;5;2;0;0;5;1;0;3;3;3;5;3;4;2;3;3;6,00;5,67;5,33;5,33;5,50;5,33;4,00;2,60;2,80;3,60;5,33;4,40;1,20;3,40;3,00
IVZU307;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;2;E.E.E.F. Amélia Lenzi Raymundi;2;2;36;2;2;0;1;0;0;0;2;;14,00;14,00;29,0;#NULO!;1;1;;1;;;7;7;7;7;6;6;6;6;6;7;6;7;5;5;3;7;7;7;6;6;7;6;6;5;1;1;1;6;7;5;6;7;5;2;1;2;3;3;1;4;4;4;5;2;5;4;2;2;5;4;4;4;5;6;6;6;6;6;6;6;6;5;1;0;0;0;0;0;0;0;0;7;7;7;7;6;4;4;5;4;6,50;4,33;7,00;6,00;6,50;6,00;4,40;3,40;2,60;2,80;5,89;1,20;0,00;6,80;4,25
LIDO866;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;2;E.E.E.F. Amélia Lenzi Raymundi;2;2;54;2;2;0;0;1;0;0;1;;23,00;36,00;40,0;10;1;1;;1;;;7;7;7;7;6;6;7;6;7;7;6;7;6;6;5;2;5;5;5;6;6;6;6;6;1;1;1;7;6;6;6;6;5;4;3;3;4;3;4;3;4;3;4;4;5;#NULO!;4;3;4;3;5;4;6;6;6;6;6;6;6;6;6;3;5;2;1;2;0;0;0;0;0;6;5;4;7;6;3;2;3;2;6,67;5,67;4,00;5,83;6,50;6,00;4,40;3,25;4,00;3,40;6,00;2,60;0,00;5,60;2,50
OLSE204;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;1;E.E.E.F. Amélia Lenzi Raymundi;2;2;53;2;2;0;1;0;0;0;1;;8,00;33,00;40,0;29;1;1;;1;;;7;6;6;7;7;6;6;7;6;5;7;7;6;6;6;6;5;6;7;7;7;6;6;7;7;6;6;7;7;5;6;6;4;1;4;4;4;5;3;4;5;4;3;4;4;4;3;5;4;1;4;3;6;6;6;6;6;5;6;6;6;0;5;4;0;0;0;2;0;0;0;5;2;5;5;3;4;4;4;4;6,42;6,00;5,67;6,67;7,00;5,67;4,20;3,00;3,40;4,00;5,89;1,80;0,40;4,00;4,00
THCI721;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;1;E.E.E.F. Amélia Lenzi Raymundi;2;2;47;2;2;0;1;0;0;0;1;;19,00;19,00;40,0;29;2;1;;2;15;Atender familiar.;7;7;6;6;7;7;6;7;6;7;7;6;7;6;6;6;6;6;6;6;6;6;6;7;1;1;1;6;6;6;6;6;4;3;3;4;5;3;3;3;4;3;4;4;4;3;3;4;3;2;3;4;5;5;5;5;5;5;5;5;5;3;5;3;1;1;0;0;3;1;0;6;3;5;6;3;4;4;4;4;6,58;6,33;6,00;6,17;6,00;6,00;4,00;2,80;3,20;3,80;5,00;2,60;0,80;4,60;4,00
FLBA065;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;1;E.E.E.F. Amélia Lenzi Raymundi;2;2;48;2;1;1;0;1;0;0;1;;8,00;12,00;40,0;40;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;6;6;6;5;6;5;4;#NULO!;5;5;#NULO!;4;3;4;4;5;4;5;3;2;5;3;4;4;4;6;6;6;6;6;6;6;6;6;5;5;6;5;5;5;5;1;0;0;6;6;6;6;6;5;5;5;5;7,00;7,00;7,00;7,00;6,00;5,67;4,40;3,75;3,75;4,20;6,00;5,20;2,20;6,00;5,00
VAVA591;Sananduva;E.E.E.F. Amélia Lenzi Raymundi;1;E.E.E.F. Amélia Lenzi Raymundi;2;2;32;2;1;0;0;1;0;0;1;;1,00;1,00;20,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;6;7;7;6;6;7;7;6;6;1;#NULO!;1;7;7;6;6;7;4;2;1;4;4;2;3;#NULO!;4;2;4;5;5;3;4;3;1;1;4;4;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;7;3;5;7;2;4;5;5;4;7,00;6,67;6,67;6,33;7,00;6,33;3,60;2,00;3,20;4,00;6,00;0,00;0,00;4,80;4,50
LUIT034;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;56;2;2;0;1;1;0;0;1;;26,00;33,00;40,0;48;2;1;;1;;;7;6;6;5;6;5;5;6;6;5;5;5;6;5;5;5;5;5;5;5;5;5;7;7;2;2;2;7;6;7;7;7;5;4;4;5;4;3;3;3;5;2;1;3;4;1;1;4;4;3;5;4;4;6;6;6;6;6;6;6;6;5;6;1;0;1;0;0;1;1;0;6;6;6;6;6;4;4;4;4;5,58;5,33;5,00;5,67;6,50;7,00;4,40;2,60;2,80;3,80;5,78;2,60;0,40;6,00;4,00
ELRO741;Sananduva;Colégio Estadual Sananduva;2;Colégio Estadual Sananduva;2;#NULO!;37;2;2;0;1;0;1;0;2;;5,00;7,00;40,0;48;#NULO!;1;;2;180;Licença maternidade.;6;6;7;7;6;6;6;7;6;6;7;6;6;7;6;6;6;6;6;6;6;6;6;6;1;1;1;6;6;6;6;6;5;4;4;5;4;4;2;3;5;3;4;4;5;3;4;5;3;2;5;4;6;6;6;5;6;5;6;6;0;1;1;1;1;0;0;0;0;0;0;3;4;6;5;6;4;4;4;4;6,33;6,33;6,00;6,00;6,00;6,00;4,40;3,20;3,80;4,20;5,11;0,80;0,00;4,80;4,00
IRJO746;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;55;2;2;0;1;0;1;0;1;;25,00;30,00;#NULO!;48;2;1;;1;;;7;7;7;7;7;7;6;6;6;6;6;6;5;4;5;3;5;6;6;6;4;5;2;5;1;3;1;6;7;5;5;5;5;3;4;3;5;2;3;4;5;4;4;3;5;4;3;5;4;3;4;4;5;5;5;5;5;5;5;6;5;1;3;3;3;1;1;1;1;0;0;5;5;5;3;3;3;3;3;3;6,50;4,67;4,67;4,67;6,50;5,00;4,80;3,20;3,60;3,80;5,11;2,20;0,60;4,20;3,00
ULLA651;Sananduva;Colégio Estadual Sananduva;2;Colégio Estadual Sananduva;2;#NULO!;56;2;2;0;1;0;1;0;1;;17,00;25,00;24,0;48;1;1;;1;;;6;6;7;6;6;7;6;7;7;7;7;7;6;6;6;6;6;6;7;6;6;6;6;6;1;1;1;7;7;6;7;7;5;3;5;3;5;3;4;3;4;1;3;3;4;1;3;4;3;2;3;3;6;6;6;6;6;6;6;6;6;5;2;1;0;0;0;0;0;0;0;6;6;6;6;6;4;4;4;4;6,58;6,00;6,00;6,17;7,00;6,67;4,20;2,00;3,60;3,20;6,00;1,60;0,00;6,00;4,00
TEME479;Sananduva;Colégio Estadual Sananduva;2;Colégio Estadual Sananduva;2;#NULO!;37;2;2;0;0;1;1;0;1;;9,00;17,00;40,0;16;1;1;;1;;;7;6;7;6;6;6;5;5;5;5;7;7;6;5;5;5;6;7;7;5;6;6;5;5;1;1;1;6;5;5;5;5;5;3;3;3;3;3;1;2;4;3;1;2;2;3;3;2;2;2;2;4;5;5;1;4;5;4;6;6;5;1;5;1;2;2;0;0;2;0;0;6;6;6;6;6;4;4;4;4;6,00;5,33;6,00;5,67;5,50;5,00;3,20;2,80;2,00;2,60;4,56;2,20;0,40;6,00;4,00
IDJO237;Sananduva;Colégio Estadual Sananduva;2;Colégio Estadual Sananduva;2;#NULO!;34;2;2;0;1;1;1;0;2;;1,00;10,00;40,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;5;5;5;5;7;7;5;7;5;1;1;1;7;7;7;7;7;5;4;5;5;5;4;3;4;5;2;4;5;4;1;1;3;5;1;5;5;6;6;0;6;6;0;6;6;6;0;0;1;#NULO!;1;0;0;0;0;1;5;4;7;7;5;4;5;5;5;7,00;6,67;5,00;6,00;7,00;7,00;4,80;2,40;3,60;4,40;4,67;0,50;0,20;5,60;4,75
PECO619;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;52;2;2;0;0;0;1;0;1;;20,00;25,00;30,0;48;1;1;;1;;;7;7;7;7;7;6;6;7;7;7;6;7;7;7;6;6;5;5;6;6;6;6;6;6;1;1;1;6;6;6;6;6;5;1;3;5;5;1;3;3;4;1;3;4;5;1;1;5;5;1;3;5;6;6;6;6;6;6;6;6;6;0;1;0;0;0;1;0;1;0;1;6;6;6;6;6;5;5;5;5;6,75;6,67;5,33;6,00;6,00;6,00;4,80;1,00;2,60;4,40;6,00;0,20;0,60;6,00;5,00
EDFE885;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;37;2;7;0;0;0;1;0;1;;12,00;15,00;40,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;6;6;5;6;5;7;5;7;6;6;7;6;6;5;2;2;2;2;5;6;6;6;5;4;5;3;5;4;2;5;5;3;3;2;4;2;2;2;4;2;4;3;5;3;3;3;3;3;3;6;5;6;6;5;3;6;0;3;6;0;0;5;4;5;5;4;5;5;5;5;6,83;5,33;6,33;6,00;3,50;6,00;4,60;3,00;3,20;3,00;3,78;5,20;1,80;4,60;5,00
SAJO419;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;25;2;2;0;0;0;1;0;2;;5,00;5,00;40,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;7;7;7;7;6;7;7;7;1;1;1;7;7;7;5;5;5;4;4;5;5;4;3;4;5;5;5;5;3;2;3;5;3;2;5;5;5;5;5;5;6;5;5;6;5;5;6;3;1;0;0;0;0;0;0;6;5;6;7;7;4;4;3;4;7,00;6,33;7,00;6,83;7,00;5,67;4,20;3,40;4,00;4,80;5,22;3,00;0,00;6,20;3,75
DIVA645;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;56;1;2;0;0;0;1;0;1;;20,00;26,00;40,0;48;1;1;;2;10;Doença.;7;7;7;7;7;7;7;7;7;7;7;6;6;6;7;6;6;6;6;6;7;7;7;7;1;1;1;7;7;6;6;6;5;1;3;3;5;4;3;5;5;3;3;5;5;3;3;3;3;3;3;5;6;6;6;6;6;6;6;6;6;5;5;5;0;1;0;0;6;0;0;7;5;5;5;5;2;4;3;2;6,92;6,33;6,00;6,67;7,00;6,00;4,60;2,80;3,00;4,20;6,00;3,20;1,20;5,40;2,75
ELJO754;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;40;2;2;0;0;0;1;0;2;;8,00;18,00;20,0;48;1;1;;1;;;7;7;6;6;6;6;6;6;7;7;6;6;6;5;4;2;4;6;6;6;6;6;5;5;1;1;1;4;5;4;4;5;5;5;2;3;5;5;9;2;4;3;3;3;4;4;5;3;1;2;3;4;3;3;3;3;3;3;3;3;3;5;2;2;2;3;0;0;2;0;0;5;3;5;6;2;3;3;3;3;6,33;5,00;4,00;5,67;4,50;4,33;3,80;3,80;4,40;3,00;3,00;2,80;0,40;4,20;3,00
ANVA344;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;34;2;2;0;0;0;1;0;2;;14,00;14,00;25,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;5;7;4;6;4;7;7;7;5;7;7;5;5;6;1;1;1;6;5;7;7;6;4;4;1;2;4;3;1;3;3;4;4;4;5;4;3;3;4;4;4;5;5;5;5;5;5;5;6;6;5;5;5;4;3;4;0;0;6;0;0;6;5;3;6;4;5;4;4;4;6,83;4,67;7,00;5,83;5,50;6,67;4,00;3,80;2,60;3,40;5,22;4,20;1,20;4,80;4,25
SOLE781;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;42;1;1;0;0;0;1;0;2;;20,00;20,00;40,0;48;1;1;;1;;;7;7;7;6;5;5;7;7;7;7;7;7;7;6;3;7;7;6;7;6;7;6;7;7;1;2;2;5;7;6;5;7;4;4;1;1;4;5;4;3;5;4;3;4;2;4;4;1;3;4;5;4;5;3;#NULO!;5;5;5;6;5;4;0;5;2;1;0;1;1;2;2;1;6;4;4;6;2;4;4;5;5;6,58;5,33;6,67;6,67;6,00;6,00;3,60;4,20;3,40;2,60;4,75;1,60;1,40;4,40;4,50
ALOL672;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;59;2;2;0;1;0;0;0;1;;30,00;30,00;40,0;48;1;1;;1;;;7;7;6;6;6;6;7;7;7;7;7;7;6;6;6;7;7;7;7;7;7;5;6;6;2;2;2;6;7;6;6;7;5;4;4;5;5;3;3;#NULO!;5;2;5;4;4;1;1;4;3;5;5;4;5;6;6;6;6;6;6;6;6;5;5;1;0;1;0;0;1;1;0;6;6;6;6;6;4;4;4;4;6,67;6,00;7,00;6,33;6,50;6,33;4,40;3,00;3,60;4,25;5,89;2,40;0,40;6,00;4,00
CLER364;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;45;2;2;0;0;0;1;0;1;;19,00;20,00;50,0;48;1;1;;2;3;Cansaço, stress.;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;1;1;7;7;5;5;5;4;2;3;5;4;2;2;3;3;2;4;3;3;3;2;3;3;3;3;3;5;5;3;5;5;5;5;6;6;5;5;5;3;3;0;0;0;0;0;4;6;5;5;4;3;2;2;2;7,00;7,00;7,00;7,00;7,00;5,00;3,40;2,40;2,80;3,40;5,00;4,20;0,00;4,80;2,25
NEAN375;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;37;1;2;0;0;0;1;0;1;;5,00;8,00;40,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;7;7;7;7;7;7;7;1;1;1;7;7;7;7;7;5;2;3;5;5;4;3;4;5;4;4;5;5;1;5;5;4;5;4;4;5;5;5;5;6;5;6;6;6;1;5;1;3;3;0;0;5;0;0;6;5;7;6;5;3;3;3;3;7,00;6,67;6,67;7,00;7,00;7,00;4,80;3,20;3,80;4,60;5,44;2,60;1,00;5,80;3,00
JANI004;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;49;2;2;0;1;1;1;0;1;;24,00;#NULO!;40,0;48;2;1;;1;;;7;7;6;6;6;6;6;6;7;7;6;6;7;6;5;4;6;6;6;6;6;5;5;6;2;1;1;7;6;6;6;6;5;1;4;4;4;2;3;5;5;2;4;5;4;2;3;4;5;2;4;4;6;5;5;6;5;6;6;6;6;1;3;1;0;0;0;0;0;1;0;6;5;6;6;6;5;4;4;4;6,33;6,00;5,33;5,67;6,50;6,00;4,60;1,80;3,60;4,40;5,67;1,00;0,20;5,80;4,25
IRFR821;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;54;2;2;0;1;1;1;0;1;;16,00;#NULO!;40,0;48;2;1;;1;;;7;7;6;7;6;6;6;6;6;7;6;6;7;7;6;6;6;6;6;6;6;5;6;6;1;2;1;5;4;6;6;6;5;3;4;4;5;4;4;4;4;3;3;4;5;3;3;5;4;4;3;4;5;5;4;4;5;6;4;6;5;5;5;5;3;3;1;1;6;0;1;6;6;7;6;4;3;3;4;3;6,33;6,67;6,00;5,83;4,50;6,00;4,60;3,40;3,40;4,20;4,89;4,20;1,80;5,80;3,25
INLA678;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;48;2;1;0;0;0;1;0;3;;3,00;#NULO!;15,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;1;1;7;7;6;6;6;5;2;2;3;2;2;3;5;5;2;4;4;5;5;4;3;3;4;5;4;6;5;4;5;5;5;5;6;5;4;5;#NULO!;4;4;5;5;5;5;5;6;5;6;6;6;2;3;2;4;7,00;7,00;7,00;7,00;7,00;6,00;4,00;3,00;3,60;3,80;5,11;4,25;5,00;5,80;2,75
TERO757;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;36;2;1;0;0;0;1;0;1;;5,00;10,00;40,0;48;1;1;;1;;;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;5;7;7;7;7;7;7;7;7;1;1;1;7;7;7;7;7;5;1;3;3;4;3;5;3;5;5;4;3;5;1;3;4;5;1;5;5;5;5;5;5;6;6;6;6;6;3;5;5;4;4;0;0;2;0;6;6;5;5;5;5;5;4;3;5;6,83;6,00;6,33;7,00;7,00;7,00;4,80;2,20;4,00;3,60;5,56;4,20;1,60;5,20;4,25
ZOLI815;Sananduva;Colégio Estadual Sananduva;1;Colégio Estadual Sananduva;2;#NULO!;43;2;2;0;0;0;1;0;1;;8,00;22,00;40,0;48;1;1;;1;;;6;5;6;#NULO!;6;6;5;6;6;4;4;5;2;3;2;1;2;3;4;5;6;4;5;5;2;1;1;6;6;5;5;6;5;2;5;4;4;3;3;2;2;1;1;1;4;3;1;2;5;3;1;2;5;5;0;1;2;1;3;4;0;2;5;6;5;4;0;2;4;1;2;4;2;2;3;3;5;2;2;1;5,36;2,33;2,00;4,83;6,00;5,33;4,00;2,40;2,20;2,20;2,33;4,40;1,80;2,80;2,50
AVAR872;Sananduva;Colégio Estadual Sananduva;2;Colégio Estadual Sananduva;2;#NULO!;36;2;2;0;1;1;1;0;1;;2,00;13,00;40,0;48;1;1;;1;;;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;5;5;5;4;4;4;4;4;5;4;5;5;5;5;5;4;5;4;5;5;6;5;6;5;6;5;5;6;5;6;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;1,17;1,00;1,00;1,17;1,00;1,00;4,80;4,40;4,80;4,40;5,44;5,20;5,00;3,00;3,00
INPE923;Sananduva;Colégio Estadual Sananduva;2;Colégio Estadual Sananduva;2;#NULO!;36;2;2;2;0;1;0;0;1;;6,00;6,00;20,0;48;2;1;;1;;;7;7;7;7;7;7;7;7;7;7;7;7;7;5;5;5;5;4;7;7;7;6;6;6;1;1;1;7;7;6;6;6;5;4;4;4;4;3;3;3;4;3;3;3;4;3;3;4;4;3;5;4;5;5;5;5;6;5;5;6;6;0;5;1;0;0;0;0;0;0;0;7;6;7;7;7;5;5;5;5;7,00;5,67;4,67;6,50;7,00;6,00;4,20;3,20;3,60;3,60;5,33;1,20;0,00;6,80;5,00
